year,state,district,black_turnout,black_share,black_candidate
2008,CA,7,0.658200875,0.165091951,0
2010,CA,7,0.37789506,0.183974359,0
2006,CA,7,0.331232092,0.176366546,0
2010,CA,8,0.465010691,0.077941824,0
2008,CA,8,0.755285472,0.074387585,0
2006,CA,8,0.412685177,0.082552262,0
2006,CA,9,0.509945713,0.24243368,1
2010,CA,9,0.53551269,0.228442348,1
2008,CA,9,0.823521304,0.230453489,1
2006,CA,10,0.385328068,0.073426745,0
2008,CA,10,0.641323091,0.083985412,0
2010,CA,10,0.45564365,0.073684367,0
2008,CA,11,0.658606696,0.046545855,0
2006,CA,11,0.312786245,0.053973992,0
2010,CA,11,0.398165351,0.050995997,0
2008,CA,12,0.598254589,0.029629101,0
2006,CA,12,0.423877625,0.025133367,0
2010,CA,12,0.460632308,0.026312551,0
2006,CA,13,0.37285269,0.079296915,0
2008,CA,13,0.54440488,0.095277771,0
2010,CA,13,0.380651854,0.085925467,0
2006,CA,14,0.344970414,0.035109496,0
2008,CA,14,0.547986554,0.036508032,0
2010,CA,14,0.425627976,0.030426323,0
2006,CA,15,0.343376375,0.026671259,1
2010,CA,15,0.318031057,0.031796098,0
2008,CA,15,0.725978261,0.022701532,0
2010,CA,16,0.382756848,0.035141461,0
2008,CA,16,0.516706664,0.043593024,0
2006,CA,16,0.302116438,0.040719958,0
2008,CA,17,0.490481708,0.032556648,0
2010,CA,17,0.33934779,0.032556648,0
2006,CA,17,0.284307234,0.032556648,0
2008,CA,18,0.376953438,0.082833395,0
2010,CA,18,0.263231045,0.072081074,0
2006,CA,18,0.210745766,0.072081074,0
2008,CA,19,0.422052256,0.040367433,0
2010,CA,19,0.26795339,0.040367433,1
2006,CA,19,0.206560238,0.040367433,0
2010,CA,20,0.152016197,0.102104568,0
2008,CA,20,0.265693344,0.103294898,0
2006,CA,20,0.132236882,0.100391915,0
2010,CA,21,0.251038483,0.028573668,0
2006,CA,21,0.246683651,0.026247585,0
2008,CA,21,0.455679522,0.026247585,0
2006,CA,22,0.206908451,0.058870373,0
2010,CA,22,0.215092851,0.066722069,0
2008,CA,22,0.4191508,0.060021806,0
2006,CA,23,0.33573168,0.022784421,0
2008,CA,23,0.535428343,0.024033616,0
2010,CA,23,0.354183347,0.024033616,0
2006,CA,24,0.310192903,0.01897643,0
2008,CA,24,0.577169787,0.017220818,0
2010,CA,24,0.396648776,0.017220818,0
2008,CA,25,0.445574792,0.09775566,0
2006,CA,25,0.197755443,0.101870812,0
2010,CA,25,0.259021889,0.098515373,0
2008,CA,26,0.652213232,0.046233438,0
2006,CA,26,0.313913359,0.048143306,0
2010,CA,26,0.393770216,0.048557309,0
2006,CA,27,0.317810332,0.050303294,0
2008,CA,27,0.625721393,0.051574696,0
2010,CA,27,0.34504355,0.057557289,0
2006,CA,28,0.348776162,0.043560899,0
2008,CA,28,0.54335813,0.059403753,0
2010,CA,28,0.339706787,0.056540339,0
2006,CA,29,0.368386723,0.06687929,0
2010,CA,29,0.569460753,0.055698941,0
2008,CA,29,0.661378659,0.063688675,0
2006,CA,30,0.519710266,0.029957811,0
2010,CA,30,0.555626935,0.034965235,0
2008,CA,30,0.815456283,0.034076917,0
2010,CA,31,0.288363389,0.066164883,0
2008,CA,31,0.366014302,0.081449351,0
2006,CA,31,0.205516807,0.075016031,0
2008,CA,32,0.459299239,0.033286505,0
2010,CA,32,0.333300628,0.029684255,0
2006,CA,32,0.264664943,0.029396464,0
2010,CA,33,0.494019748,0.325948655,1
2008,CA,33,0.631188714,0.354271618,1
2006,CA,33,0.373559831,0.347322632,1
2010,CA,34,0.209052439,0.083872966,0
2006,CA,34,0.143007148,0.092776745,0
2008,CA,34,0.39429801,0.07517766,0
2006,CA,35,0.30834954,0.443038015,1
2010,CA,35,0.402720477,0.400266424,1
2008,CA,35,0.581374965,0.419482778,1
2006,CA,36,0.389767812,0.042716738,0
2008,CA,36,0.548954115,0.056475554,0
2010,CA,36,0.461460085,0.046209259,0
2006,CA,37,0.30135556,0.31928605,1
2008,CA,37,0.618358643,0.306138461,1
2010,CA,37,0.420764549,0.285337801,1
2008,CA,38,0.516006043,0.040441273,0
2006,CA,38,0.300088474,0.037097376,0
2010,CA,38,0.298292053,0.046193619,0
2008,CA,39,0.563355146,0.068739102,0
2006,CA,39,0.247908146,0.07465057,0
2010,CA,39,0.341893936,0.073446907,0
2006,CA,40,0.237263033,0.025674761,0
2008,CA,40,0.419790105,0.031260869,0
2010,CA,40,0.359325271,0.023013988,0
2006,CA,41,0.23633096,0.058486436,0
2008,CA,41,0.532424439,0.054813207,0
2010,CA,41,0.276740968,0.061182645,0
2006,CA,42,0.244950612,0.030946602,0
2010,CA,42,0.360213748,0.027497017,0
2008,CA,42,0.48444641,0.030946602,0
2006,CA,43,0.15954503,0.155880969,0
2010,CA,43,0.214293185,0.153520919,0
2008,CA,43,0.389656245,0.14726199,0
2006,CA,44,0.233154788,0.060519404,0
2010,CA,44,0.277764523,0.065196131,0
2008,CA,44,0.429191128,0.069408147,0
2010,CA,45,0.281525067,0.077563416,0
2008,CA,45,0.500425035,0.073536364,0
2006,CA,45,0.23653154,0.071662065,0
2006,CA,46,0.331777518,0.017056574,0
2010,CA,46,0.419681058,0.017056574,0
2008,CA,46,0.747708635,0.013943258,0
2006,CA,47,0.143595984,0.025564945,0
2010,CA,47,0.158148939,0.031362395,0
2008,CA,47,0.327832944,0.026541298,0
2006,CA,48,0.221594121,0.019352707,0
2010,CA,48,0.296257359,0.019406502,0
2008,CA,48,0.49651325,0.018007987,0
2006,CA,49,0.207448344,0.052971698,0
2008,CA,49,0.46184837,0.050188208,0
2010,CA,49,0.275544891,0.052565084,0
2006,CA,50,0.346520548,0.019064552,0
2008,CA,50,0.590970611,0.021575891,0
2010,CA,50,0.405096572,0.019570939,0
2008,CA,51,0.512951063,0.102516286,0
2006,CA,51,0.281555037,0.09792007,0
2010,CA,51,0.305998205,0.094227807,0
2008,CA,52,0.540535104,0.042931447,0
2006,CA,52,0.242154496,0.042931447,0
2010,CA,52,0.272090913,0.049686121,0
2006,CA,53,0.273364486,0.067271954,0
2008,CA,53,0.655686828,0.065228293,0
2010,CA,53,0.352274179,0.070770135,0
2008,CO,0,0.727136068,0.036018339,0
2010,CO,0,0.403611823,0.036225286,0
2008,CO,1,0.817739332,0.093711374,0
2006,CO,1,0.362482438,0.101688319,0
2010,CO,1,0.4450617,0.095699806,0
2010,CO,2,0.474087933,0.010782949,0
2008,CO,2,0.786342376,0.010782949,0
2006,CO,2,0.393451824,0.010782949,0
2006,CO,5,0.233004321,0.051875812,0
2010,CO,5,0.243327938,0.055474896,0
2008,CO,5,0.501795698,0.053793359,0
2010,CO,6,0.586821835,0.020994127,0
2008,CO,6,0.786138614,0.025224955,0
2006,CO,6,0.427983539,0.023284337,0
2010,CO,7,0.370264822,0.065230895,1
2006,CO,7,0.333319721,0.057666539,0
2008,CO,7,0.677745716,0.065473247,0
2010,CT,0,0.338045727,0.090504933,0
2010,CT,1,0.388988245,0.129144524,0
2008,CT,1,0.714208205,0.114529462,0
2008,CT,2,0.377904195,0.035138816,0
2010,CT,2,0.226985122,0.032095179,0
2008,CT,3,0.589886731,0.123063688,0
2010,CT,3,0.342596947,0.123861333,0
2010,CT,4,0.336154164,0.117429309,0
2008,CT,4,0.61563298,0.10824807,0
2010,CT,5,0.262700886,0.056675735,0
2008,CT,5,0.538613702,0.05057897,0
2006,DE,0,0.364076978,0.194131532,0
2010,DE,0,0.479354017,0.202480938,0
2008,DE,0,0.754572835,0.193922904,0
2008,DE,1,0.754572835,0.193922904,0
2010,DE,1,0.479354017,0.202480938,0
2006,DE,1,0.364076978,0.194131532,0
2010,FL,0,0.350655225,0.142004846,1
2006,FL,0,0.291829131,0.133911609,0
2008,FL,1,0.59615921,0.137161133,0
2006,FL,1,0.259890588,0.130815036,0
2010,FL,1,0.330330541,0.136202761,0
2008,FL,2,0.608296518,0.21881329,0
2010,FL,2,0.363818033,0.212744764,0
2010,FL,3,0.342465566,0.497387238,1
2010,FL,4,0.331022613,0.151167707,0
2006,FL,4,0.293285134,0.140533914,0
2008,FL,4,0.659276642,0.138872153,0
2008,FL,5,0.587146052,0.056382781,0
2006,FL,5,0.300038319,0.047558446,0
2010,FL,5,0.319192732,0.05735447,0
2006,FL,6,0.291707646,0.124796387,0
2008,FL,6,0.636340572,0.129993998,0
2010,FL,6,0.331106597,0.136149387,0
2006,FL,7,0.305920848,0.082633413,0
2008,FL,7,0.671250992,0.088668152,0
2010,FL,7,0.349018286,0.091561933,0
2008,FL,8,0.697655381,0.088533778,0
2006,FL,8,0.272547213,0.083916192,0
2010,FL,8,0.339802679,0.094989388,0
2008,FL,9,0.669027642,0.05007266,0
2006,FL,9,0.271660125,0.049057573,0
2010,FL,9,0.369587758,0.05128633,0
2006,FL,10,0.217029511,0.0442693,0
2008,FL,10,0.544081135,0.04949532,0
2010,FL,10,0.26597269,0.048077936,0
2006,FL,11,0.252740748,0.271204797,1
2008,FL,11,0.637207882,0.265452848,1
2010,FL,11,0.309701755,0.277207468,0
2006,FL,12,0.276217536,0.131817027,0
2010,FL,12,0.330629139,0.144722655,0
2008,FL,12,0.69707925,0.137199619,0
2006,FL,13,0.230477932,0.041158545,0
2010,FL,13,0.286749682,0.044938428,1
2008,FL,13,0.517637137,0.048731676,0
2008,FL,14,0.588492353,0.04571577,0
2006,FL,14,0.185335655,0.043847818,0
2010,FL,14,0.241897924,0.049779664,0
2006,FL,15,0.296965507,0.074969128,0
2010,FL,15,0.334991345,0.084630863,0
2008,FL,15,0.693404074,0.076814285,0
2006,FL,16,0.328166394,0.065050875,0
2010,FL,16,0.351172953,0.073596745,0
2008,FL,16,0.735380078,0.067272865,0
2010,FL,17,0.409987792,0.587869678,1
2006,FL,17,0.322425225,0.564160395,1
2008,FL,18,0.715213516,0.064814509,0
2006,FL,18,0.256344033,0.06813573,0
2010,FL,18,0.268348409,0.080041585,0
2008,FL,19,0.771299201,0.079047716,0
2010,FL,19,0.357524143,0.097972953,0
2008,FL,20,0.855720264,0.090260158,0
2010,FL,20,0.377029594,0.115734308,0
2008,FL,21,0.81966687,0.084064696,0
2006,FL,21,0.379711055,0.093796858,0
2008,FL,22,0.728702892,0.046782523,1
2006,FL,22,0.283670282,0.047826868,0
2010,FL,22,0.381755279,0.049195562,1
2008,FL,23,0.67986142,0.526797758,1
2010,FL,23,0.360304796,0.531841372,1
2006,FL,24,0.310057408,0.065929227,0
2008,FL,24,0.683419194,0.0750073,0
2010,FL,24,0.386361541,0.073633124,0
2006,FL,25,0.194802487,0.128794112,0
2010,FL,25,0.258409468,0.126366886,0
2008,FL,25,0.494155994,0.121148679,0
2008,GA,0,0.617467687,0.302423314,0
2010,GA,0,0.375981322,0.309255599,1
2006,GA,1,0.190091009,0.24675243,0
2010,GA,1,0.263365348,0.255557333,0
2008,GA,1,0.52590857,0.242469326,0
2008,GA,2,0.526292602,0.46683077,1
2006,GA,2,0.231775623,0.471342935,1
2010,GA,2,0.337287992,0.483779851,1
2010,GA,3,0.393645896,0.238350282,0
2006,GA,3,0.273730479,0.230601445,0
2008,GA,3,0.644701087,0.230996008,0
2010,GA,4,0.433269995,0.645184002,1
2008,GA,4,0.684286059,0.607543193,1
2006,GA,4,0.314833453,0.624063868,1
2008,GA,5,0.594242921,0.519938798,1
2006,GA,5,0.284663527,0.513010239,1
2010,GA,5,0.385869635,0.517412881,1
2010,GA,6,0.421448047,0.101351916,0
2008,GA,6,0.696026155,0.097256027,0
2006,GA,6,0.289304917,0.096246049,0
2010,GA,7,0.420932126,0.218744379,0
2006,GA,7,0.271488807,0.207450594,0
2008,GA,7,0.696121078,0.208940374,0
2006,GA,8,0.245964473,0.332971437,0
2008,GA,8,0.587297843,0.324817791,0
2010,GA,8,0.364524422,0.339474154,0
2006,GA,9,0.189517002,0.034330264,0
2010,GA,9,0.256946504,0.036051355,0
2008,GA,9,0.439796413,0.038288008,0
2006,GA,10,0.246779833,0.187075088,0
2010,GA,10,0.336949139,0.186848799,0
2008,GA,10,0.589065146,0.182577376,0
2006,GA,11,0.252510816,0.145452931,0
2010,GA,11,0.370136618,0.146324095,0
2008,GA,11,0.588434968,0.155768379,0
2006,GA,12,0.246868764,0.428954327,0
2010,GA,12,0.323526443,0.428410802,0
2008,GA,12,0.546631807,0.43481645,0
2006,GA,13,0.292808653,0.573421839,1
2010,GA,13,0.425164003,0.591825906,1
2008,GA,13,0.709061577,0.55554032,1
2010,IA,0,0.350259465,0.024337509,0
2008,IA,0,0.773648009,0.021307884,0
2006,IA,1,0.31453879,0.036913766,0
2008,IA,1,0.7159438,0.036913766,0
2010,IA,1,0.338851558,0.036913766,0
2006,IA,2,0.3916275,0.020480665,0
2008,IA,2,0.794869275,0.022354593,0
2010,IA,2,0.368188129,0.025074905,0
2010,IA,3,0.403115265,0.034601405,0
2008,IA,3,0.829031079,0.029715858,0
2006,IA,3,0.451693954,0.02745585,0
2008,IL,0,0.642765897,0.149080166,0
2010,IL,0,0.38963766,0.148898875,0
2006,IL,1,0.403598972,0.656922405,1
2008,IL,1,0.70332158,0.633672101,1
2010,IL,1,0.455163273,0.632347547,1
2006,IL,2,0.452768385,0.685476854,1
2008,IL,2,0.742119849,0.700420095,1
2010,IL,2,0.487010901,0.69667683,1
2008,IL,3,0.586818334,0.070547528,0
2010,IL,3,0.345580049,0.076215528,0
2006,IL,3,0.322702409,0.076552927,0
2010,IL,4,0.179475213,0.067035844,0
2006,IL,4,0.141052053,0.079123817,0
2008,IL,4,0.296647199,0.08031982,0
2008,IL,5,0.301086133,0.037106986,0
2010,IL,5,0.181288898,0.035218919,0
2006,IL,5,0.152591807,0.035591353,0
2006,IL,6,0.171985943,0.032316981,0
2008,IL,6,0.441180935,0.031247554,0
2010,IL,6,0.242328126,0.030147787,0
2010,IL,7,0.394646387,0.515644477,1
2008,IL,7,0.657389907,0.535365084,1
2006,IL,7,0.368780032,0.546200327,1
2010,IL,8,0.251023731,0.041790288,0
2006,IL,8,0.246100824,0.035878208,0
2008,IL,8,0.478757691,0.042688736,0
2008,IL,9,0.529729027,0.108027855,0
2006,IL,9,0.327104243,0.091498617,0
2010,IL,9,0.364472422,0.095007032,0
2006,IL,10,0.222328747,0.050547858,1
2010,IL,10,0.246068699,0.054181928,1
2008,IL,10,0.473994158,0.049917572,1
2006,IL,11,0.261176142,0.080554967,0
2010,IL,11,0.32824463,0.080554967,0
2008,IL,11,0.575085523,0.080554967,0
2006,IL,12,0.316279537,0.159616147,0
2010,IL,12,0.394332969,0.159616147,0
2008,IL,12,0.675613949,0.159616147,0
2006,IL,13,0.232309151,0.069651915,0
2010,IL,13,0.32827875,0.064786844,0
2008,IL,13,0.569863347,0.062855099,0
2010,IL,14,0.192797993,0.054532679,0
2006,IL,14,0.153006051,0.053903866,0
2008,IL,14,0.423819243,0.053903866,0
2006,IL,15,0.246461723,0.056572881,0
2008,IL,15,0.489746493,0.062552875,0
2010,IL,15,0.241366296,0.062552875,0
2008,IL,16,0.550001785,0.055795599,0
2006,IL,16,0.265788502,0.047945745,0
2010,IL,16,0.253418544,0.055795599,0
2010,IL,17,0.279176606,0.070951283,0
2006,IL,17,0.26568896,0.070951283,0
2008,IL,17,0.566277015,0.066913287,0
2010,IL,18,0.266240432,0.06774364,0
2008,IL,18,0.495148494,0.067591489,0
2006,IL,18,0.258560179,0.067591489,0
2008,IL,19,0.423425995,0.034278793,0
2006,IL,19,0.23511616,0.034278793,0
2010,IL,19,0.241109652,0.034278793,0
2006,IN,0,0.282386711,0.080676125,0
2010,IN,0,0.29633906,0.084635485,0
2006,IN,1,0.262297473,0.176568481,0
2008,IN,1,0.656074682,0.176568481,0
2010,IN,1,0.337877564,0.176568481,0
2006,IN,2,0.251001407,0.075685663,0
2010,IN,2,0.242934117,0.083267903,0
2008,IN,2,0.522533775,0.08031775,0
2008,IN,3,0.577065767,0.052882005,0
2010,IN,3,0.235881619,0.054163601,0
2006,IN,3,0.22116608,0.053519141,0
2006,IN,4,0.212747995,0.02552976,0
2008,IN,4,0.552202054,0.02552976,0
2010,IN,4,0.253576248,0.026101613,0
2010,IN,5,0.227986475,0.036825775,0
2008,IN,5,0.509657726,0.035274639,0
2006,IN,5,0.222177742,0.035274639,0
2006,IN,6,0.28669513,0.034265967,0
2008,IN,6,0.538541426,0.034265967,0
2010,IN,6,0.275617355,0.034265967,0
2006,IN,7,0.331560927,0.310647801,1
2008,IN,7,0.756150391,0.3088385,1
2010,IN,7,0.338376396,0.321111918,1
2006,IN,8,0.198003484,0.040541624,0
2008,IN,8,0.415925036,0.040541624,0
2010,IN,8,0.187220417,0.040541624,0
2006,IN,9,0.220449438,0.024781146,0
2010,IN,9,0.234456929,0.024781146,0
2008,IN,9,0.453333333,0.024781146,0
2008,KS,0,0.62319543,0.053379706,0
2010,KS,0,0.307329033,0.054706091,0
2006,KS,1,0.213681858,0.022336971,0
2008,KS,1,0.426877854,0.022336971,0
2010,KS,1,0.217082888,0.022336971,0
2008,KS,2,0.513708638,0.044940478,0
2006,KS,2,0.267039106,0.044940478,0
2010,KS,2,0.247056296,0.044940478,0
2010,KS,3,0.38152217,0.081112528,0
2008,KS,3,0.723708412,0.082004647,0
2006,KS,3,0.359415986,0.079516252,0
2010,KS,4,0.285254366,0.065168081,0
2006,KS,4,0.251883883,0.064905235,0
2008,KS,4,0.586508413,0.063956634,1
2010,KY,0,0.367386449,0.073579906,0
2008,KY,0,0.616274647,0.070837579,0
2006,KY,1,0.34346937,0.065273914,0
2010,KY,1,0.367772147,0.065273914,0
2008,KY,1,0.579799058,0.065273914,0
2008,KY,2,0.54749992,0.05739543,0
2006,KY,2,0.294815004,0.05739543,0
2010,KY,2,0.331909876,0.05739543,0
2006,KY,3,0.371997961,0.188329061,0
2008,KY,3,0.666054597,0.193161285,0
2010,KY,3,0.403463684,0.193528879,0
2010,KY,4,0.241631206,0.026184184,0
2006,KY,4,0.216737589,0.026184184,0
2008,KY,4,0.412553191,0.026184184,0
2006,KY,5,0.544093981,0.012092623,0
2010,KY,5,0.513839717,0.012092623,0
2008,KY,5,0.620534277,0.012092623,0
2010,KY,6,0.363278224,0.081783922,0
2006,KY,6,0.335601719,0.078048271,0
2008,KY,6,0.595091074,0.081783922,0
2010,LA,0,0.353539784,0.306849262,0
2008,LA,0,0.607897934,0.302208735,0
2010,LA,1,0.294126774,0.144061511,0
2008,LA,1,0.481268865,0.144061511,0
2010,LA,2,0.375352727,0.57950866,1
2008,LA,2,0.7004238,0.571476935,1
2010,LA,3,0.402700087,0.258214571,0
2008,LA,4,0.543848317,0.324886841,0
2010,LA,4,0.327491799,0.324588877,0
2010,LA,5,0.323008248,0.326118603,0
2010,LA,6,0.356192247,0.332649217,0
2008,LA,6,0.597023192,0.33459674,0
2008,LA,7,0.626710014,0.240593719,1
2008,MA,0,0.574917874,0.050251912,0
2006,MA,0,0.369451522,0.04750463,0
2010,MA,1,0.243092554,0.016736306,0
2008,MA,1,0.431213018,0.016655579,0
2006,MA,1,0.197358367,0.018911197,0
2010,MA,2,0.300161875,0.053686637,0
2008,MA,2,0.508629717,0.053061376,0
2006,MA,2,0.305295299,0.050201474,0
2008,MA,3,0.388016429,0.027874557,0
2010,MA,3,0.176003994,0.038227879,0
2006,MA,3,0.23452348,0.024004677,0
2010,MA,4,0.209624308,0.028086475,0
2006,MA,4,0.192738051,0.028596615,0
2008,MA,4,0.354104301,0.025930306,0
2006,MA,5,0.215921978,0.020379722,0
2008,MA,5,0.384496676,0.019120641,0
2010,MA,5,0.295233214,0.017276074,0
2006,MA,6,0.277303055,0.018314932,0
2008,MA,6,0.429048066,0.02057404,0
2010,MA,6,0.266722061,0.020381292,0
2006,MA,7,0.315315315,0.036983535,0
2008,MA,7,0.506205425,0.040086084,0
2010,MA,7,0.312246678,0.045575925,0
2008,MA,8,0.679391373,0.198185568,0
2010,MA,8,0.463292547,0.191769693,0
2006,MA,8,0.491155132,0.18708536,0
2008,MA,9,0.652419041,0.09632668,0
2006,MA,9,0.419306221,0.091463116,1
2010,MA,9,0.352402577,0.11294543,0
2010,MA,10,0.263617045,0.01839114,0
2008,MA,10,0.381009484,0.018638248,0
2006,MA,10,0.259897361,0.016915522,0
2006,MD,0,0.398675841,0.279977036,1
2010,MD,0,0.440171528,0.29158435,0
2006,MD,1,0.335692518,0.112322792,0
2010,MD,1,0.376477672,0.113127453,0
2008,MD,1,0.599324864,0.11034007,0
2008,MD,2,0.728904683,0.303254797,0
2010,MD,2,0.457799623,0.317935989,0
2006,MD,2,0.427735396,0.285530988,0
2006,MD,3,0.447118416,0.183659902,0
2008,MD,3,0.72856981,0.191881255,1
2010,MD,3,0.475092929,0.190590027,0
2010,MD,4,0.439867173,0.599300414,1
2008,MD,4,0.790635349,0.583007532,1
2006,MD,4,0.396724677,0.590955934,1
2006,MD,5,0.453429141,0.345323947,0
2008,MD,5,0.860764206,0.354092634,0
2010,MD,5,0.504368104,0.371038181,1
2006,MD,6,0.258836866,0.054524375,0
2008,MD,6,0.449884192,0.063584517,0
2010,MD,6,0.24597656,0.064572078,0
2006,MD,7,0.345887406,0.57703376,1
2008,MD,7,0.62182987,0.564653637,1
2010,MD,7,0.407999226,0.570726473,1
2006,MD,8,0.428021244,0.153543147,0
2010,MD,8,0.411680204,0.174200097,0
2008,MD,8,0.679518564,0.170351871,0
2008,ME,0,0.904825737,0.005083851,0
2008,MI,0,0.811796706,0.133212682,0
2006,MI,0,0.504916515,0.133246984,0
2010,MI,1,0.135846964,0.013957547,0
2008,MI,1,0.227197117,0.013957547,0
2006,MI,1,0.161352925,0.013957547,0
2010,MI,2,0.30863694,0.043538048,1
2008,MI,2,0.708582563,0.043538048,1
2006,MI,2,0.378557187,0.043538048,0
2010,MI,3,0.269660146,0.082168762,1
2006,MI,3,0.446812607,0.075269618,0
2008,MI,3,0.814708746,0.071320173,0
2006,MI,4,0.305226863,0.02426853,0
2008,MI,4,0.496591176,0.02426853,0
2010,MI,4,0.256406238,0.02426853,0
2006,MI,5,0.497398262,0.170725064,0
2010,MI,5,0.424144503,0.16847677,0
2008,MI,5,0.895588486,0.161155323,0
2006,MI,6,0.351188842,0.073620698,0
2010,MI,6,0.261301667,0.079554969,0
2008,MI,6,0.741562842,0.075404098,0
2006,MI,7,0.293144617,0.05711005,0
2010,MI,7,0.270616327,0.05711005,0
2008,MI,7,0.580371665,0.05711005,0
2010,MI,8,0.350495212,0.0470547,0
2008,MI,8,0.926236539,0.040437868,0
2006,MI,8,0.50615179,0.042590648,0
2008,MI,9,0.977068032,0.093392486,0
2006,MI,9,0.621009643,0.09861011,0
2010,MI,9,0.438202247,0.11433953,0
2010,MI,10,0.321832925,0.024989677,0
2006,MI,10,0.408965728,0.024989677,0
2008,MI,10,0.703641371,0.024989677,0
2010,MI,11,0.476459947,0.085547514,0
2008,MI,11,0.932725934,0.082177018,0
2006,MI,11,0.784725492,0.063187146,0
2006,MI,12,0.788727331,0.170459804,0
2010,MI,12,0.510298635,0.209675239,0
2008,MI,13,0.699806809,0.633031408,1
2006,MI,13,0.430913529,0.614257439,1
2010,MI,13,0.345386222,0.606357516,1
2006,MI,14,0.492548219,0.625468658,1
2008,MI,14,0.756724231,0.614928833,1
2010,MI,14,0.400605862,0.619269605,1
2010,MI,15,0.404656988,0.126805215,0
2006,MI,15,0.540401495,0.115427826,0
2008,MI,15,0.931701208,0.114850939,0
2006,MN,0,0.383577312,0.030095627,0
2008,MN,0,0.728107717,0.032330055,0
2008,MN,1,0.676254461,0.010042676,0
2010,MN,1,0.243697479,0.015756389,0
2008,MN,2,0.570118995,0.022401734,0
2006,MN,2,0.316453221,0.020501545,0
2010,MN,2,0.308426483,0.022830109,0
2006,MN,3,0.370903997,0.045100517,0
2010,MN,3,0.344927037,0.051407505,0
2008,MN,3,0.698632005,0.047960016,0
